r030,txt,rate,cc,exchangedate,date,retrieval_time,prev_rate,rate_change
124,Канадський долар,29.9806,CAD,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
124,Канадський долар,30.0995,CAD,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,29.9806,0.39658979473392797
124,Канадський долар,30.0995,CAD,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,30.0995,0.0
124,Канадський долар,30.0995,CAD,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,30.0995,0.0
124,Канадський долар,30.1759,CAD,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,30.0995,0.25382481436568577
124,Канадський долар,30.1475,CAD,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,30.1759,-0.09411483998819509
124,Канадський долар,30.0296,CAD,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,30.1475,-0.39107720374824556
756,Швейцарський франк,50.2583,CHF,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
756,Швейцарський франк,50.2319,CHF,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,50.2583,-0.05252863706093385
756,Швейцарський франк,50.2319,CHF,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,50.2319,0.0
756,Швейцарський франк,50.2319,CHF,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,50.2319,0.0
756,Швейцарський франк,50.6455,CHF,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,50.2319,0.823381158188313
756,Швейцарський франк,50.5297,CHF,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,50.6455,-0.22864815235312144
756,Швейцарський франк,50.2721,CHF,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,50.5297,-0.5097991874085864
156,Юань Женьміньбі,5.7078,CNY,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
156,Юань Женьміньбі,5.7201,CNY,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,5.7078,0.2154945863555248
156,Юань Женьміньбі,5.7201,CNY,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,5.7201,0.0
156,Юань Женьміньбі,5.7201,CNY,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,5.7201,0.0
156,Юань Женьміньбі,5.7359,CNY,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,5.7201,0.2762189472211953
156,Юань Женьміньбі,5.7214,CNY,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,5.7359,-0.25279380742342017
156,Юань Женьміньбі,5.7438,CNY,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,5.7214,0.3915125668542699
208,Данська крона,6.3187,DKK,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
208,Данська крона,6.3087,DKK,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,6.3187,-0.15826040166489608
208,Данська крона,6.3087,DKK,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,6.3087,0.0
208,Данська крона,6.3087,DKK,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,6.3087,0.0
208,Данська крона,6.3407,DKK,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,6.3087,0.50723603912058
208,Данська крона,6.3236,DKK,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,6.3407,-0.2696863122368211
208,Данська крона,6.2943,DKK,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,6.3236,-0.4633436650009505
978,Євро,47.1687,EUR,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
978,Євро,47.0808,EUR,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,47.1687,-0.1863523904623143
978,Євро,47.0808,EUR,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,47.0808,0.0
978,Євро,47.0808,EUR,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,47.0808,0.0
978,Євро,47.3127,EUR,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,47.0808,0.4925574756588588
978,Євро,47.1868,EUR,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,47.3127,-0.2661019134397349
978,Євро,46.9637,EUR,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,47.1868,-0.47280171573405105
348,Форинт,0.116681,HUF,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
348,Форинт,0.116518,HUF,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,0.116681,-0.13969712292490666
348,Форинт,0.116518,HUF,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,0.116518,0.0
348,Форинт,0.116518,HUF,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,0.116518,0.0
348,Форинт,0.117055,HUF,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,0.116518,0.4608729981633823
348,Форинт,0.116667,HUF,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,0.117055,-0.3314681132800815
348,Форинт,0.11593,HUF,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,0.116667,-0.6317124808214846
356,Індійська рупія,0.49078,INR,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
356,Індійська рупія,0.49225,INR,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,0.49078,0.29952320795468984
356,Індійська рупія,0.49225,INR,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,0.49225,0.0
356,Індійська рупія,0.49225,INR,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,0.49225,0.0
356,Індійська рупія,0.49353,INR,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,0.49225,0.2600304723209758
356,Індійська рупія,0.4936,INR,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,0.49353,0.014183534942143129
356,Індійська рупія,0.49084,INR,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,0.4936,-0.559157212317663
392,Єна,0.29,JPY,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
392,Єна,0.2878,JPY,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,0.29,-0.7586206896551655
392,Єна,0.2878,JPY,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,0.2878,0.0
392,Єна,0.2878,JPY,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,0.2878,0.0
392,Єна,0.28855,JPY,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,0.2878,0.2605976372480795
392,Єна,0.28913,JPY,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,0.28855,0.20100502512563678
392,Єна,0.29023,JPY,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,0.28913,0.38045169992736483
398,Теньге,0.080745,KZT,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
398,Теньге,0.080874,KZT,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,0.080745,0.1597622143786044
398,Теньге,0.080874,KZT,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,0.080874,0.0
398,Теньге,0.080874,KZT,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,0.080874,0.0
398,Теньге,0.080721,KZT,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,0.080874,-0.1891831738259519
398,Теньге,0.080548,KZT,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,0.080721,-0.21431845492499657
398,Теньге,0.080561,KZT,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,0.080548,0.016139444803097685
422,Ліванський фунт,0.000463,LBP,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
422,Ліванський фунт,0.000465,LBP,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,0.000463,0.43196544276458937
422,Ліванський фунт,0.000465,LBP,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,0.000465,0.0
422,Ліванський фунт,0.000465,LBP,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,0.000465,0.0
422,Ліванський фунт,0.000466,LBP,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,0.000465,0.21505376344085375
422,Ліванський фунт,0.000465,LBP,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,0.000466,-0.21459227467810515
422,Ліванський фунт,0.000463,LBP,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,0.000465,-0.4301075268817308
484,Мексиканське песо,2.122,MXN,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
484,Мексиканське песо,2.1189,MXN,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,2.122,-0.14608859566446186
484,Мексиканське песо,2.1189,MXN,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,2.1189,0.0
484,Мексиканське песо,2.1189,MXN,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,2.1189,0.0
484,Мексиканське песо,2.1187,MXN,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,2.1189,-0.009438859785736843
484,Мексиканське песо,2.123,MXN,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,2.1187,0.20295464199746033
484,Мексиканське песо,2.1015,MXN,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,2.123,-1.0127178520960938
458,Малайзійський ринггіт,9.6099,MYR,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
458,Малайзійський ринггіт,9.6386,MYR,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,9.6099,0.2986503501597375
458,Малайзійський ринггіт,9.6386,MYR,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,9.6386,0.0
458,Малайзійський ринггіт,9.6386,MYR,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,9.6386,0.0
458,Малайзійський ринггіт,9.7975,MYR,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,9.6386,1.6485796692465624
458,Малайзійський ринггіт,9.9044,MYR,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,9.7975,1.091094667006903
458,Малайзійський ринггіт,9.795,MYR,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,9.9044,-1.1045595896773235
554,Новозеландський долар,24.5589,NZD,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
554,Новозеландський долар,24.6406,NZD,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,24.5589,0.3326696228251179
554,Новозеландський долар,24.6406,NZD,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,24.6406,0.0
554,Новозеландський долар,24.6406,NZD,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,24.6406,0.0
554,Новозеландський долар,24.7794,NZD,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,24.6406,0.5632979716403003
554,Новозеландський долар,24.8998,NZD,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,24.7794,0.4858874710444969
554,Новозеландський долар,24.8022,NZD,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,24.8998,-0.39197101984754856
985,Злотий,11.035,PLN,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
985,Злотий,11.003,PLN,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,11.035,-0.2899864068871774
985,Злотий,11.003,PLN,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,11.003,0.0
985,Злотий,11.003,PLN,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,11.003,0.0
985,Злотий,11.0696,PLN,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,11.003,0.6052894665091277
985,Злотий,11.0313,PLN,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,11.0696,-0.3459926284599223
985,Злотий,10.9851,PLN,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,11.0313,-0.41880830001904296
946,Румунський лей,9.4749,RON,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
946,Румунський лей,9.4574,RON,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,9.4749,-0.18469851924558647
946,Румунський лей,9.4574,RON,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,9.4574,0.0
946,Румунський лей,9.4574,RON,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,9.4574,0.0
946,Румунський лей,9.504,RON,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,9.4574,0.49273584706155765
946,Румунський лей,9.4782,RON,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,9.504,-0.2714646464646493
946,Румунський лей,9.2526,RON,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,9.4782,-2.380198771918719
752,Шведська крона,4.3009,SEK,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
752,Шведська крона,4.2816,SEK,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,4.3009,-0.4487432862889236
752,Шведська крона,4.2816,SEK,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,4.2816,0.0
752,Шведська крона,4.2816,SEK,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,4.2816,0.0
752,Шведська крона,4.323,SEK,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,4.2816,0.9669282511210839
752,Шведська крона,4.318,SEK,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,4.323,-0.11566042100395052
752,Шведська крона,4.3102,SEK,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,4.318,-0.1806391848077718
840,Долар США,41.4706,USD,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
840,Долар США,41.5945,USD,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,41.4706,0.2987658726905302
840,Долар США,41.5945,USD,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,41.5945,0.0
840,Долар США,41.5945,USD,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,41.5945,0.0
840,Долар США,41.7091,USD,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,41.5945,0.27551719578310335
840,Долар США,41.6036,USD,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,41.7091,-0.2529424034563183
840,Долар США,41.4544,USD,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,41.6036,-0.3586228114874685
961,Срібло,1335.97,XAG,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
961,Срібло,1320.02,XAG,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,1335.97,-1.1938890843357295
961,Срібло,1320.02,XAG,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,1320.02,0.0
961,Срібло,1320.02,XAG,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,1320.02,0.0
961,Срібло,1347.25,XAG,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,1320.02,2.0628475326131435
961,Срібло,1346.89,XAG,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,1347.25,-0.02672109853404342
961,Срібло,1371.99,XAG,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,1346.89,1.8635523316677611
962,Платина,40263.39,XPT,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
962,Платина,39932.8,XPT,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,40263.39,-0.8210684693961351
962,Платина,39932.8,XPT,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,39932.8,0.0
962,Платина,39932.8,XPT,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,39932.8,0.0
962,Платина,40441.56,XPT,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,39932.8,1.2740403878515776
962,Платина,40119.18,XPT,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,40441.56,-0.7971502582986348
962,Платина,40544.89,XPT,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,40119.18,1.0611134125871942
710,Ренд,2.2322,ZAR,01.05.2025,2025-05-01,2025-05-07 10:47:58.566474,,
710,Ренд,2.2327,ZAR,02.05.2025,2025-05-02,2025-05-07 10:47:58.435354,2.2322,0.022399426574667272
710,Ренд,2.2327,ZAR,03.05.2025,2025-05-03,2025-05-07 10:47:58.317985,2.2327,0.0
710,Ренд,2.2327,ZAR,04.05.2025,2025-05-04,2025-05-07 10:47:58.199500,2.2327,0.0
710,Ренд,2.268,ZAR,05.05.2025,2025-05-05,2025-05-07 10:47:58.092081,2.2327,1.5810453710753747
710,Ренд,2.2711,ZAR,06.05.2025,2025-05-06,2025-05-07 10:47:57.977802,2.268,0.13668430335098436
710,Ренд,2.2706,ZAR,07.05.2025,2025-05-07,2025-05-07 10:47:57.865294,2.2711,-0.022015763286520496
